title,link,relevance_score
Actuarial Intern at ACRE Africa,https://www.myjobmag.co.ke/job/actuarial-intern-acre-africa-1,80
Internship – Data Analysis & Reporting Assistant at DanChurchAid (DCA),https://www.myjobmag.co.ke/job/internship-data-analysis-reporting-assistant-danchurchaid-dca-1,80
"GRADUATE INTERNS – ACCOUNTS, REAL ESTATE, COMMUNICATION & ADMINISTRATION",https://www.brightermonday.co.ke/listings/graduate-interns-accounts-real-estate-communication-administration-gwvzvr,70
Uganda Data and Systems Lead (Fixed-Term),https://reliefweb.int/job/4192464/uganda-data-and-systems-lead-fixed-term,50
"Human resources, talent development, recruiting,",https://www.fuzu.com/kenya/job/human-resources,20
"Data/Research,",https://www.fuzu.com/kenya/job/data-research,20
"Computers, software development and services,",https://www.fuzu.com/kenya/job/computers-software,20
"Government, community development, public services,",https://www.fuzu.com/kenya/job/government-community-development-public-services,20
"Information technology, software development, data,",https://www.fuzu.com/kenya/job/computers-software-development,20
"Human Resource Graduate Trainee Programme (2026 Intake), (Consulting Industry)",https://www.brightermonday.co.ke/listings/human-resource-graduate-trainee-programme-2026-intake-5dm5x5,20
Recruitment and Staff Welfare Manager,https://www.brightermonday.co.ke/listings/recruitment-and-staff-welfare-manager-vw2qej,0
Sales Beautician,https://www.brightermonday.co.ke/listings/sales-beautician-jqnw0v,0
SALESPERSON/SHOP ATTENDANT (ELECTRONICS & HOME APPLIANCES),https://www.brightermonday.co.ke/listings/salespersonshop-attendant-r8g824,0
RIDER (ELECTRIONICS & HOME APPLIANCES),https://www.brightermonday.co.ke/listings/rider-4nxnjm,0
Business Development Executives – Commercial & Industrial (Solar Solutions) - 11 openings,https://www.brightermonday.co.ke/listings/business-development-executives-commercial-industrial-solar-solutions-11-openings-k8w8rz,0
Digital Marketing & Communications Manager,https://www.brightermonday.co.ke/listings/digital-marketing-communications-manager-204dqg,0
Procurement & Storage Manager,https://www.brightermonday.co.ke/listings/procurement-storage-manager-jqnwr5,0
Waste Kiosk Operator - Pipeline,https://www.brightermonday.co.ke/listings/waste-kiosk-operator-pipeline-pmx76j,0
Zonal Field Operations Manager,https://www.brightermonday.co.ke/listings/zonal-field-operations-manager-mgz4pg,0
Sales Executive,https://www.brightermonday.co.ke/listings/sales-executive-7wkm5q,0
Archives and Records Management - 2 Posts at Council of Legal Education,https://www.myjobmag.co.ke/job/archives-and-records-management-2-posts-council-of-legal-education,0
Information Science - 2 Posts at Council of Legal Education,https://www.myjobmag.co.ke/job/information-science-2-posts-council-of-legal-education,0
Senior Software Engineer-LMS (Loan Management System) & MIS (Management Information System) at Pezesha,https://www.myjobmag.co.ke/job/senior-software-engineer-lms-loan-management-system-mis-management-information-system-pezesha,0
Product Manager at Umba,https://www.myjobmag.co.ke/job/product-manager-umba-6,0
Assistant Records and Information Management Officer III at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/assistant-records-and-information-management-officer-iii-kenya-rural-roads-authority,0
Sales Engineer at Senga Technologies,https://www.myjobmag.co.ke/job/sales-engineer-senga-technologies-1,0
SENIOR MECHANIC,https://www.brightermonday.co.ke/listings/senior-mechanic-np4240,0
Front Desk Concierge,https://www.brightermonday.co.ke/listings/front-desk-concierge-9jpw6v,0
Principal Library Assistant at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/principal-library-assistant-kenya-rural-roads-authority,0
ICT Officer II - 2 Posts at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/ict-officer-ii-2-posts-kenya-rural-roads-authority,0
Senior Knowledge Management Officer at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/senior-knowledge-management-officer-kenya-rural-roads-authority,0
Principal ICT Offcier (Database & Application) at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/principal-ict-offcier-database-application-kenya-rural-roads-authority,0
ICT Technician at Cascade Institute of Hospitality,https://www.myjobmag.co.ke/job/ict-technician-cascade-institute-of-hospitality,0
Principal ICT Officer (Network & Infrastructure) at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/principal-ict-officer-network-infrastructure-kenya-rural-roads-authority,0
Assistant Vocational and Technical Trainer II- Business Information Technology at Public Service Commission Kenya (PSCK),https://www.myjobmag.co.ke/job/assistant-vocational-and-technical-trainer-ii-business-information-technology-public-service-commission-kenya-psck,0
"Jobs in Nairobi,",https://www.fuzu.com/kenya/job/nairobi,0
"Jobs in Kisumu,",https://www.fuzu.com/kenya/job/kisumu,0
"Jobs in Kajiado,",https://www.fuzu.com/kenya/job/kajiado,0
"Jobs in Bomet,",https://www.fuzu.com/kenya/job/bomet,0
"Jobs in Kakamega,",https://www.fuzu.com/kenya/job/kakamega,0
"Jobs in Embu,",https://www.fuzu.com/kenya/job/embu,0
"Business Analyst 2, Data Analytics (Business Analyst 2) at Central Bank of Kenya",https://www.myjobmag.co.ke/job/business-analyst-2-data-analytics-business-analyst-2-central-bank-of-kenya,0
ACCOUNTANT & PRINCIPAL OFFICER,https://www.brightermonday.co.ke/listings/accountant-principal-officer-d754z2,0
Customer Service,https://www.brightermonday.co.ke/listings/customer-service-r8g5k2,0
"Jobs in Kiambu,",https://www.fuzu.com/kenya/job/kiambu,0
"Jobs in Nakuru,",https://www.fuzu.com/kenya/job/nakuru,0
"Jobs in Mombasa,",https://www.fuzu.com/kenya/job/mombasa,0
"Jobs in Bungoma,",https://www.fuzu.com/kenya/job/bungoma,0
"Jobs in Kericho,",https://www.fuzu.com/kenya/job/kericho,0
"Jobs in Kakuma,",https://www.fuzu.com/kenya/job/kakuma,0
"Jobs in Eldoret,",https://www.fuzu.com/kenya/job/eldoret,0
"Jobs in Narok,",https://www.fuzu.com/kenya/job/narok,0
"Jobs in Voi,",https://www.fuzu.com/kenya/job/voi,0
"Jobs in Thika,",https://www.fuzu.com/kenya/job/thika,0
Jobs in Nyeri,https://www.fuzu.com/kenya/job/nyeri,0
"Accounting, finance, banking, insurance,",https://www.fuzu.com/kenya/job/accounting-finance?filters[country_id]=1,0
"Administrative, clerical,",https://www.fuzu.com/kenya/job/administrative-clerical,0
"Jobs in Lodwar,",https://www.fuzu.com/kenya/job/lodwar,0
"Jobs in Kilifi,",https://www.fuzu.com/kenya/job/kilifi,0
"Jobs in Siaya,",https://www.fuzu.com/kenya/job/siaya,0
"Construction,",https://www.fuzu.com/kenya/job/construction,0
"Business, strategic management,",https://www.fuzu.com/kenya/job/business-strategic-management,0
"Agriculture, fishing, forestry, wildlife,",https://www.fuzu.com/kenya/job/agriculture-fishing-forestry,0
"Customer support, client care,",https://www.fuzu.com/kenya/job/customer-support-client-care,0
"Energy, power,",https://www.fuzu.com/kenya/job/energy-power,0
"Engineering, architecture,",https://www.fuzu.com/kenya/job/engineering-architecture,0
"Electrical engineering,",https://www.fuzu.com/kenya/job/electrical-engineering,0
"Design, arts,",https://www.fuzu.com/kenya/job/design-arts,0
"General management, leadership,",https://www.fuzu.com/kenya/job/general-management-leadership,0
"Food, nutrition,",https://www.fuzu.com/kenya/job/food-nutrition,0
"Installation, maintenance, repair,",https://www.fuzu.com/kenya/job/installation-maintenance-repair,0
"Legal,",https://www.fuzu.com/kenya/job/legal,0
"Manufacturing, operations, quality,",https://www.fuzu.com/kenya/job/manufacturing-operations-quality,0
ICT Assistant III - 3 Posts at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/ict-assistant-iii-3-posts-kenya-rural-roads-authority,0
"Business Analyst (Data Scientist), Regulatory Technology (Business Analyst 2) at Central Bank of Kenya",https://www.myjobmag.co.ke/job/business-analyst-data-scientist-regulatory-technology-business-analyst-2-central-bank-of-kenya,0
Data & Insights Officer at Dignitas,https://www.myjobmag.co.ke/job/data-insights-officer-dignitas,0
"Medical, health,",https://www.fuzu.com/kenya/job/medical-health,0
"Media, communications, languages,",https://www.fuzu.com/kenya/job/media-communications-languages,0
"Mechanical engineering,",https://www.fuzu.com/kenya/job/mechanical-engineering,0
"Project, program management,",https://www.fuzu.com/kenya/job/project-program-management,0
"Security,",https://www.fuzu.com/kenya/job/security,0
"Skilled, manual labor,",https://www.fuzu.com/kenya/job/skilled-manual-labor,0
"Restaurant, hospitality, travel,",https://www.fuzu.com/kenya/job/restaurant-hospitality-travel,0
"Research, academy,",https://www.fuzu.com/kenya/job/research-academy,0
"Telecommunications,",https://www.fuzu.com/kenya/job/telecommunication,0
"Transportation, logistics, driving,",https://www.fuzu.com/kenya/job/transportation-logistics-driving,0
"Aeronautics,",https://www.fuzu.com/kenya/job/aeronautics,0
"Agriculture, fishing, forestry,",https://www.fuzu.com/kenya/job/agriculture-fishing,0
"Arts, design,",https://www.fuzu.com/kenya/job/arts-design,0
"Automotive,",https://www.fuzu.com/kenya/job/automotive,0
"Sports, beauty, wellbeing,",https://www.fuzu.com/kenya/job/health-sports-beauty,0
"Sales, marketing, promotion,",https://www.fuzu.com/kenya/job/sales-marketing-promotion,0
"Beauty, cosmetics,",https://www.fuzu.com/kenya/job/beauty-cosmetics,0
"Banking, microfinance, insurance,",https://www.fuzu.com/kenya/job/banking-microfinance,0
"Construction, renovation, maintenance,",https://www.fuzu.com/kenya/job/construction-renovation,0
"Communications, media, radio, tv,",https://www.fuzu.com/kenya/job/communications-media,0
"Consulting, business support, auditing,",https://www.fuzu.com/kenya/job/consulting-business,0
"Education, academic,",https://www.fuzu.com/kenya/job/education-academic,0
"Energy, utilities, environment,",https://www.fuzu.com/kenya/job/energy-utilities,0
"Entertainment, events,",https://www.fuzu.com/kenya/job/entertainment-events,0
"Finance & FinTech,",https://www.fuzu.com/kenya/job/finance-fintech,0
"Financial Services,",https://www.fuzu.com/kenya/job/financial-services,0
"Governmental,",https://www.fuzu.com/kenya/job/governmental,0
"Health care, medical,",https://www.fuzu.com/kenya/job/health-care,0
"Housekeeping, maintenance,",https://www.fuzu.com/kenya/job/housekeeping-maintenance,0
"Legal, accounting,",https://www.fuzu.com/kenya/job/legal-accounting,0
"Manufacturing,",https://www.fuzu.com/kenya/job/manufacturing,0
"Teaching, training,",https://www.fuzu.com/kenya/job/teaching-training,0
"Marketing, advertising,",https://www.fuzu.com/kenya/job/marketing-advertising,0
"Non-profit, social work,",https://www.fuzu.com/kenya/job/non-profit-social,0
"Raw materials, oil, chemicals,",https://www.fuzu.com/kenya/job/raw-materials,0
"Outsourcing, leasing,",https://www.fuzu.com/kenya/job/outsourcing-leasing,0
"Restaurant, hospitality, travel,",https://www.fuzu.com/kenya/job/restaurant-hospitality,0
"Retail, wholesale, FMCG,",https://www.fuzu.com/kenya/job/retail-wholesale,0
"Telecommunications,",https://www.fuzu.com/kenya/job/telecommunications,0
"Real estate,",https://www.fuzu.com/kenya/job/real-estate,0
"Textile, fashion,",https://www.fuzu.com/kenya/job/textile-fashion,0
"Transportation, logistics, storage,",https://www.fuzu.com/kenya/job/transportation-logistics,0
"Mid-level,",https://www.fuzu.com/kenya/job/middle,0
"Entry and Basic-level,",https://www.fuzu.com/kenya/job/basic,0
"Senior-level,",https://www.fuzu.com/kenya/job/senior,0
EXPERTE OU EXPERT FINANCE RÉGIONAL - POOL MOYEN-ORIENT - FRANCE,https://reliefweb.int/job/4192439/experte-ou-expert-finance-regional-pool-moyen-orient-france,0
RFP - Organisational Development for the Public Service Commission,https://reliefweb.int/job/4192437/rfp-organisational-development-public-service-commission,0
Arabic Language Video Presenter,https://reliefweb.int/job/4192405/arabic-language-video-presenter,0
Arabic Media Specialist,https://reliefweb.int/job/4192404/arabic-media-specialist,0
Humanitarian access and risk advisor(F/M) - Ethiopia,https://reliefweb.int/job/4192391/humanitarian-access-and-risk-advisorfm-ethiopia,0
FEWS NET Regional Technical Sr. Specialist-Livelihoods - Middle East and Europe,https://reliefweb.int/job/4192390/fews-net-regional-technical-sr-specialist-livelihoods-middle-east-and-europe,0
Administrative coordinator (F/M) - Syria,https://reliefweb.int/job/4192389/administrative-coordinator-fm-syria,0
Logisticien Kalemie (F/H) - République Démocratique du Congo,https://reliefweb.int/job/4192388/logisticien-kalemie-fh-republique-democratique-du-congo,0
Field coordinator Aleppo (F/M) - Syria,https://reliefweb.int/job/4192385/field-coordinator-aleppo-fm-syria,0
Climate Adaptation & Resilience Lead,https://reliefweb.int/job/4192383/climate-adaptation-resilience-lead,0
Climate Adaptation & Resilience Lead,https://reliefweb.int/job/4192382/climate-adaptation-resilience-lead,0
Climate Adaptation & Resilience Lead,https://reliefweb.int/job/4192381/climate-adaptation-resilience-lead,0
Climate Adaptation & Resilience Lead,https://reliefweb.int/job/4192380/climate-adaptation-resilience-lead,0
Head of Digital Engagement,https://reliefweb.int/job/4192373/head-digital-engagement,0
General coordinator (head of mission) (F/M) - Ethiopia,https://reliefweb.int/job/4192368/general-coordinator-head-mission-fm-ethiopia,0
Screen-printing Project Coordinator,https://reliefweb.int/job/4192366/screen-printing-project-coordinator,0
Field Coordinator,https://reliefweb.int/job/4192364/field-coordinator,0
Logistic Assistant,https://reliefweb.int/job/4192356/logistic-assistant,0
Accountant,https://reliefweb.int/job/4192355/accountant,0
